0.7	0.8	0.9	1	1.1	1.2	
0.999995	0.999999	0.9999995	1	
100000	
0.7,	0.7,	0.7,	0.7,	0.8,	0.8,	0.8,	0.8,	0.9,	0.9,	0.9,	0.9,	1,	1,	1,	1,	1.1,	1.1,	1.1,	1.1,	1.2,	1.2,	1.2,	1.2,	
5.974,	9.984,	3.733,	9.51,	8.35,	10.218,	17.77,	6.145,	18.329,	13.76,	31.583,	36.427,	27.561,	15.741,	84.689,	38.48,	92.612,	7,	7,	13,	79.921,	10,	20,	19,	
7.192,	8.189,	8.595,	18.353,	7.398,	6.138,	6.03,	14.528,	17.408,	69.935,	45.022,	9.332,	51.013,	16.094,	3,	7,	15.36,	99.38,	4,	12,	67.697,	10,	14,	18,	
4.616,	21.926,	7.339,	10.442,	8.584,	6.67,	17.108,	14.292,	9.952,	50.728,	87.354,	34.037,	44.731,	92.369,	42.585,	4,	47.592,	7,	7,	67.745,	86.252,	12,	19,	10,	
8.538,	7.423,	5.198,	8.186,	16.296,	14.969,	21.563,	18.756,	29.978,	9.038,	5.257,	8.167,	60.603,	72.508,	4,	2,	44.162,	4,	3,	40.645,	93.893,	8,	15,	13,	
12.188,	3.399,	6.913,	9.031,	7.849,	10.431,	10.506,	8.529,	27.489,	37.753,	59.274,	92.854,	38.944,	3,	3,	3,	49.388,	8,	6,	4,	39.751,	7,	8,	16,	
2.047,	7.127,	12.389,	8.312,	4.785,	15.648,	20.548,	2.875,	5.261,	13.72,	53.895,	40.391,	24.234,	31.151,	83,	33.703,	52.982,	6,	6,	7,	58.623,	4,	14,	18,	
6.794,	10.446,	11.267,	3.085,	8.667,	35.838,	12.518,	10.881,	33.23,	18.427,	23.235,	3,	9.455,	3,	24.884,	4,	23.723,	4,	12,	55.013,	63.984,	11,	12,	12,	
7.136,	6.317,	14.929,	5.714,	6.423,	7.514,	2.743,	5.45,	26.523,	15.537,	27.86,	43.767,	34.501,	58.095,	4,	43.398,	37.132,	8,	10,	7,	62.34,	11,	15,	12,	
5.405,	2.351,	21.918,	13.57,	7.428,	6.487,	15.838,	5.463,	22.794,	65.98,	5.619,	3,	42.756,	44.743,	72.806,	9.177,	66.635,	6,	10,	8,	66.575,	8,	13,	18,	
5.695,	4.844,	8.777,	6.96,	3.274,	8.674,	9.562,	6.074,	11.49,	58.599,	3,	8.991,	58.095,	72.501,	52.951,	15.249,	45.221,	5,	8,	8,	78.068,	7,	8,	17,	
7.29,	3.903,	6.416,	4.231,	7.27,	14.018,	9.517,	3.887,	5.136,	41.553,	14.843,	9.535,	19.157,	3,	53.33,	43.335,	56.401,	4,	12,	9,	67.594,	8,	14,	17,	
7.407,	2.278,	2.961,	21.295,	18.349,	13.78,	7.513,	5.209,	20.811,	12.683,	43.39,	66.323,	25.044,	41.947,	80.587,	3,	36.11,	3,	4,	7,	75.172,	8,	15,	16,	
14.79,	10.287,	5.27,	5.833,	17.981,	11.163,	30.616,	34.963,	12.869,	40.318,	60.802,	45.494,	43.015,	3,	84.804,	3,	6.122,	5,	4,	4,	72.02,	7,	14,	15,	
5.037,	9.054,	9.138,	5.729,	6.151,	4.056,	14.704,	13.773,	18.042,	8.856,	13.251,	36.486,	6.447,	26.422,	4,	27.067,	60.527,	4,	70.443,	8,	97.217,	11,	7,	16,	
3.586,	5.728,	16.409,	6.371,	24.666,	9.814,	28.553,	39.973,	23.577,	52.801,	6.771,	41.527,	29.861,	99.076,	4,	4,	35.419,	84.856,	10,	6,	65.01,	4,	10,	11,	
4.383,	10.325,	11.638,	43.689,	5.308,	41.218,	6.321,	4.883,	18.858,	27.88,	14.145,	43.455,	27.727,	3,	24.109,	56.268,	48.784,	4,	4,	5,	51.684,	6,	11,	18,	
4.019,	4.284,	4.531,	13.044,	34.186,	11.043,	73.865,	9.662,	22.927,	20.283,	3.89,	8.189,	3.395,	40.666,	25.712,	65.941,	80.419,	4,	8,	8,	77.475,	10,	93.593,	14,	
3.244,	3.189,	5.489,	3.704,	15.27,	2.119,	20.378,	20.776,	26.437,	95.203,	42.11,	9.222,	26.686,	3,	4,	4,	43.306,	4,	4,	3,	61.413,	12,	15,	16,	
7.423,	9.093,	5.798,	8.758,	3.257,	6.912,	8.121,	10.702,	11.127,	55.842,	17.582,	17.926,	55.655,	3,	3,	98.913,	69.898,	84.085,	6,	8,	72.973,	4,	6,	12,	
4.317,	11.978,	9.712,	8.616,	8.122,	16.796,	6.593,	15.746,	8.72,	51.202,	33.543,	44.04,	21.421,	3,	4,	3,	50.34,	4,	8,	7,	64.22,	8,	8,	11,	
16.857,	7.964,	10.37,	5.465,	12.843,	34.748,	10.831,	4.419,	8.297,	63.822,	51.299,	12.588,	57.33,	2,	4,	4,	60.658,	6,	7,	7,	65.911,	10,	7,	10,	
3.913,	21.432,	4.811,	11.906,	15.197,	11.533,	14.837,	15.905,	39.028,	27.168,	16.77,	47.759,	42.891,	3,	3,	71.934,	39.851,	6,	3,	6,	69.522,	14,	13,	16,	
11.536,	8.814,	4.284,	26.009,	6.398,	8.599,	16.078,	6.3,	6.048,	45.617,	45.955,	65.55,	42.433,	4,	75.757,	45.667,	65.194,	94.73,	10,	13,	57.499,	4,	9,	15,	
6.119,	12.228,	12.791,	19.783,	12.282,	18.489,	9.003,	21.076,	10.161,	53.292,	9.329,	32.535,	20.364,	28.988,	29.919,	3,	50.571,	4,	8,	7,	69.568,	8,	9,	18,	
18.984,	4.26,	12.707,	15.145,	13.249,	16.199,	16.943,	6.229,	27.204,	11.339,	76.555,	7.505,	44.616,	98.95,	72.075,	4,	65.779,	6,	11,	5,	62.39,	13,	14,	15,	
8.78,	14.699,	6.191,	6.463,	17.098,	42.306,	19.807,	9.567,	32.462,	29.599,	20.746,	15.478,	41.761,	50.66,	76.223,	4,	52.012,	3,	4,	7,	42.314,	12,	13,	14,	
3.506,	14.32,	11.746,	11.864,	5.723,	12.823,	7.459,	14.38,	17.873,	6.505,	82.812,	36.662,	72.941,	4,	67.013,	81.445,	58.581,	5,	12,	8,	19.835,	12,	15,	18,	
6.404,	12.152,	7.12,	9.607,	24.398,	23.111,	4.44,	22.378,	7.465,	22.603,	18.662,	16.333,	46.172,	59.757,	35.148,	31.508,	39.765,	7,	10,	10,	34.165,	13,	13,	20,	
5.449,	10.595,	17.449,	5.609,	8.75,	16.244,	3.843,	8.895,	14.258,	19.926,	10.851,	3,	36.845,	72.98,	4,	4,	53.508,	3,	8,	6,	68.388,	9,	14,	10,	
9.569,	12.448,	9.161,	21.813,	6.885,	5.016,	17.268,	4.691,	16.629,	60.247,	52.419,	27.972,	41.428,	16.597,	54.365,	4,	70.617,	3,	3,	8,	71.712,	8,	18,	14,	
8.801,	8.664,	5.345,	18.857,	6.696,	2.872,	21.496,	26.634,	15.067,	8.336,	53.854,	5.752,	23.127,	91.064,	3,	3,	64.516,	4,	26.562,	7,	63.784,	16,	8,	15,	
5.596,	10.967,	10.725,	6.228,	17.627,	15.78,	19.967,	24.465,	28.135,	26.793,	23.306,	3,	33.63,	4,	25.876,	20.611,	61.733,	7,	8,	7,	50.784,	9,	15,	7,	
18.463,	22.112,	5.318,	8.296,	28.54,	5.996,	6.538,	8.717,	27.635,	18.813,	30.565,	16.085,	19.463,	7.649,	4,	4,	67.211,	4,	4,	6,	62.594,	8,	14,	18,	
3.27,	10.633,	4.352,	4.805,	17.878,	24.535,	45.73,	20.124,	27.895,	49.794,	3,	12.677,	53.904,	3,	7,	6,	53.111,	3,	4,	4,	46.77,	10,	19,	14,	
8.855,	10.319,	4.605,	18.48,	8.145,	16.009,	3.926,	4.71,	13.485,	81.629,	26.764,	76.218,	46.675,	86.115,	24.062,	3,	57.736,	7,	81.899,	8,	50.524,	12,	14,	20,	
10.64,	17.614,	8.33,	5.562,	7,	18.57,	10.224,	7.14,	21.991,	71.334,	35.361,	4.178,	13.609,	90.61,	4,	3,	61.526,	4,	6,	4,	72.358,	9,	8,	14,	
5.01,	19.817,	26.126,	9.193,	17.234,	6.119,	13.917,	27.894,	37.127,	22.257,	32.982,	28.038,	41.272,	15.45,	4,	4,	55.718,	7,	4,	10,	39.335,	8,	14,	16,	
12.765,	4.612,	8.659,	14.377,	19.351,	7.889,	7.511,	6.064,	23.226,	9.535,	4.82,	7.054,	40.908,	4,	88.645,	4,	27.933,	3,	9,	10,	59.991,	11,	12,	11,	
5.211,	5.321,	5.858,	4.689,	7.885,	5.081,	6.425,	8.78,	4.136,	37.35,	78.352,	70.046,	52.29,	13.532,	69.289,	37.327,	31.619,	4,	8,	15,	68.764,	11,	14,	12,	
10.598,	6.294,	5.575,	6.209,	26.362,	22.129,	28.42,	12.11,	23.383,	30.435,	12.479,	10.592,	43.487,	4,	6,	4,	59.862,	4,	6,	10,	77.447,	16,	11,	14,	
7.956,	18.636,	8.526,	5.618,	28.443,	39.738,	5.639,	2.597,	30.883,	60.794,	36.125,	4.838,	12.722,	73.597,	33.6,	4,	83.231,	66.368,	6,	8,	88.891,	10,	15,	20,	
10.625,	1.662,	18.332,	23.435,	18.644,	5.905,	35.04,	16.226,	36.621,	7.225,	19.502,	3,	49.424,	98.455,	4,	6,	44.751,	8,	8,	11,	92.841,	8,	16,	9,	
7.447,	12.943,	19.475,	5.98,	17.282,	12.616,	8.936,	56.785,	5.263,	35.004,	35.754,	10.071,	47.735,	6,	48.549,	4,	37.894,	6,	6,	8,	70.124,	4,	14,	14,	
6.37,	6.282,	6.977,	5.258,	13.498,	7.784,	24.238,	10.607,	10.228,	23.424,	15.722,	7.339,	44.618,	27.014,	3,	3,	54.003,	7,	8,	8,	94.766,	12,	12,	11,	
4.468,	12.712,	3.876,	4.512,	3.907,	37.51,	32.173,	11.44,	30.956,	44.123,	15.998,	16.988,	22.016,	48.263,	4,	87.837,	62.128,	4,	7,	8,	76.492,	7,	18,	18,	
9.407,	5.07,	16.473,	6.314,	34.24,	6.803,	11.516,	10.816,	16.694,	43.03,	15.507,	12.391,	32.777,	2,	4,	6,	20.188,	4,	10,	11,	86.662,	9,	16,	17,	
5.53,	19.549,	11.03,	2.983,	10.822,	6.843,	18.023,	28.395,	22.417,	30.426,	75.286,	95.706,	34.705,	3,	4,	3,	54.651,	5,	4,	13,	60.282,	11,	11,	20,	
5.859,	11.292,	6.196,	12.432,	5.982,	41.938,	4.722,	7.05,	17.947,	30.224,	16.118,	31.748,	22.296,	25.67,	72.222,	6,	91.983,	3,	4,	10,	50.993,	4,	16,	17,	
4.854,	6.003,	3.341,	5.178,	13.445,	10.539,	13.134,	15.378,	24.489,	35.647,	32.972,	39.024,	43.467,	6.365,	3,	6,	70.136,	3,	11,	4,	86.03,	8,	13,	10,	
17.171,	9.273,	7.069,	9.279,	8.6,	17.419,	5.309,	4.661,	29.22,	8.627,	19.509,	63.108,	14.065,	78.384,	4,	3,	64.863,	87.951,	8,	10,	49.251,	10,	12,	10,	
9.81,	16.877,	19.739,	5.342,	21.52,	6.71,	15.648,	34.533,	29.134,	40.896,	22.695,	29.678,	38.907,	3,	4,	4,	32.024,	8,	4,	12,	48.871,	4,	8,	15,	
4.575,	13.052,	6.506,	4.281,	23.248,	39.929,	7.137,	13.005,	28.156,	79.287,	63.265,	3.379,	32.052,	61.262,	3,	4,	43.94,	4,	7,	6,	77.905,	7,	12,	10,	
9.944,	13.663,	26.939,	5.99,	14.348,	6.187,	20.586,	12.312,	35.913,	32.996,	14.232,	68.734,	31.965,	82.259,	4,	4,	41.306,	70.242,	8,	14,	80.022,	7,	14,	10,	
6.313,	7.589,	13.271,	14.995,	10.31,	15.575,	16.052,	20.164,	23.684,	77.164,	39.979,	9.143,	40.207,	3,	3,	94.334,	70.721,	6,	6,	8,	68.475,	4,	8,	16,	
12.628,	8.303,	11.675,	5.447,	6.814,	13.064,	6.999,	16.286,	13.899,	6.06,	19.999,	20.844,	40.837,	4,	89.08,	59.598,	39.715,	3,	3,	8,	81.261,	8,	15,	14,	
6.443,	4.232,	7.395,	13.888,	11.059,	18.117,	12.234,	10.757,	14.544,	9.51,	4.853,	7.392,	38.656,	64.119,	95.359,	4,	29.841,	7,	6,	8,	47.026,	7,	12,	11,	
8.9,	10.682,	6.542,	9.523,	5.549,	3.036,	11.753,	11.564,	30.396,	42.112,	48.794,	59.952,	52.316,	96.926,	4,	3,	54.485,	8.462,	4,	8,	54.777,	3,	10,	13,	
3.286,	17.163,	4.703,	7.629,	16.284,	7.095,	8.956,	10.371,	54.866,	3.854,	44.427,	28.756,	57.196,	85.295,	45.43,	4,	45.323,	3,	8,	28.202,	60.358,	11,	7,	19,	
11.467,	14.746,	5.687,	4.386,	11.911,	30.227,	5.78,	3.39,	34.116,	18.795,	23.496,	50.847,	16.633,	65.685,	3,	4,	30.434,	8,	88.739,	7,	32.023,	8,	10,	4,	
8.684,	5.97,	3.223,	7.9,	14.693,	37.485,	11.187,	4.567,	20.079,	32.082,	17.133,	3,	37.121,	17.601,	97.402,	3,	49.578,	3,	4,	9,	83.459,	8,	17,	12,	
19.673,	6.417,	5.72,	12.454,	5.431,	45.34,	7.113,	17.279,	30.068,	9.154,	15.443,	73.493,	34.84,	85.891,	4,	4,	76.253,	4,	6,	6,	82.381,	14,	11,	11,	
12.462,	7.749,	10.653,	8.334,	7.471,	11.871,	3.752,	32.121,	7.236,	11.777,	27.233,	32.7,	31.862,	66.558,	3,	7,	36.453,	8,	4,	3,	67.581,	11,	12,	15,	
14.706,	3.421,	13.624,	2.851,	7.725,	5.873,	5.456,	18.671,	23.064,	33.799,	39.864,	71.937,	43.172,	27.609,	4,	6,	42.721,	4,	60.72,	10,	45.504,	12,	15,	9,	
4.578,	6.477,	8.225,	9.076,	5.832,	15.655,	14.595,	9.27,	21.866,	43.128,	12.705,	31.004,	44.304,	3,	40.113,	3,	65.669,	6,	4,	8,	68.631,	12,	11,	18,	
7.605,	7.382,	8.411,	13.138,	8.873,	30.135,	32.485,	14.158,	22.334,	59.205,	31.544,	4,	50.775,	16.698,	16.715,	4,	25.478,	3,	8,	10,	34.788,	8,	10,	10,	
6.768,	6.45,	9.198,	24.389,	10.741,	6.397,	15.357,	8.309,	22.13,	31.979,	9.809,	40.835,	46.506,	4,	3,	3,	67.042,	3,	6,	11,	57.21,	10,	16,	10,	
4.181,	5.968,	6.345,	8.635,	10.91,	52.504,	24.618,	14.598,	12.56,	88.655,	49.137,	15.726,	47.703,	4,	78.223,	3,	15.135,	3,	7,	11,	71.45,	12,	14,	13,	
8.638,	7.643,	9.749,	6.471,	17.278,	13.697,	5.299,	20.245,	28.263,	29.776,	3.361,	30.568,	32.592,	3,	3,	4,	54.3,	4,	10,	4,	62.427,	14,	14,	12,	
5.566,	16.62,	10.184,	8.145,	4.965,	4.028,	6.734,	17.831,	9.25,	10.099,	13.334,	41.227,	40.439,	47.53,	4,	50.123,	47.259,	6,	4,	4,	68.261,	7,	18,	12,	
13.425,	11.321,	22.177,	5.093,	3.633,	21.142,	18.121,	16.73,	5.588,	11.436,	3,	32.877,	19.249,	63.748,	88.303,	15.122,	16.383,	8,	4,	3,	56.462,	12,	11,	18,	
8.532,	16.047,	22.251,	6.542,	15.94,	8.243,	23.578,	6.326,	12.959,	15.528,	45.741,	3,	34.669,	3,	81.13,	4,	50.735,	92.894,	96.131,	8,	52.566,	4,	11,	15,	
9.109,	8.363,	9.831,	9.869,	25.745,	6.743,	19.17,	7.338,	21.433,	47.195,	66.119,	6.992,	32.181,	75.947,	44.55,	4,	22.018,	8,	7,	7,	53.674,	8,	14,	12,	
28.968,	5.557,	26.842,	5.558,	8.582,	4.566,	5.802,	6.027,	30.932,	21.501,	8.48,	3,	29.133,	4,	7,	3,	54.929,	3,	9,	4,	77.442,	11,	8,	17,	
5.689,	8.65,	17.925,	11.303,	12.324,	16.221,	8.762,	6.378,	15.469,	13.447,	33.664,	18.241,	22.987,	4,	3,	4,	54.492,	91.299,	4,	4,	44.51,	13,	8,	16,	
9.772,	7.837,	3.635,	4.837,	7.405,	10.417,	4.671,	9.843,	21.429,	28.972,	37.47,	41.133,	32.087,	40.829,	62.248,	12.601,	71.712,	3,	6,	10,	75.085,	9,	4,	17,	
4.524,	10.236,	6.265,	16.697,	18.505,	7.49,	2.564,	34.964,	22.957,	8.574,	13.87,	16.964,	33.525,	62.891,	4,	4,	45.246,	4,	11,	4,	86.034,	11,	14,	16,	
7.684,	8.007,	8.453,	7.65,	11.816,	15.469,	26.112,	21.572,	32.198,	13.132,	21.595,	6.365,	17.144,	45.167,	4,	4,	64.675,	4,	8,	7,	37.498,	7,	98.176,	16,	
3.628,	10.715,	8.212,	6.494,	23.456,	10.632,	9.324,	7.105,	6.264,	34.19,	15.838,	45.634,	22.815,	3,	4,	4,	29.841,	8,	3,	8,	65.122,	10,	13,	15,	
